,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
178,Sporting Gijón,Getafe,1,2,Matchweek 18,-12.0,-8.0,-4.0,-3.0,15.0,17.0,3.0,6.0,3.3,3.3,2.25,76,77,74,74,71,74,76.0,76,72,77,74,71,71,78,72,73,71,76,76,74,76,76
179,Barcelona,Granada,4,0,Matchweek 19,27.0,-12.0,6.0,-3.0,42.0,17.0,9.0,6.0,34.0,15.0,1.05,83,77,85,73,84,63,83.0,74,90,70,94,75,88,73,84,76,78,75,79,73,80,73
180,Getafe,Betis,1,0,Matchweek 19,-7.0,-14.0,1.0,-9.0,20.0,20.0,6.0,2.0,4.0,3.5,1.95,77,75,74,72,74,72,76.0,74,74,76,77,73,78,75,73,74,76,71,74,75,76,79
181,Sevilla,Athletic Club,2,0,Matchweek 19,3.0,7.0,3.0,2.0,26.0,28.0,8.0,8.0,3.5,3.5,2.1,74,79,81,83,82,80,74.0,80,80,74,79,70,79,79,71,80,81,82,81,80,80,79
182,Real Madrid,La Coruña,5,0,Matchweek 19,29.0,8.0,9.0,1.0,37.0,27.0,10.0,6.0,21.0,9.0,1.11,79,76,81,74,84,76,87.0,72,93,76,87,78,86,77,87,75,83,74,87,75,84,73
183,Levante,Rayo Vallecano,2,1,Matchweek 19,-19.0,-21.0,-5.0,-11.0,11.0,15.0,1.0,1.0,3.4,3.4,2.15,72,69,75,77,75,75,75.0,75,76,73,71,78,60,72,77,59,72,70,78,71,73,59
184,Villarreal,Sporting Gijón,2,0,Matchweek 19,8.0,-13.0,5.0,-7.0,36.0,15.0,15.0,3.0,6.5,4.33,1.5,76,76,79,74,81,68,80.0,76,78,74,79,76,79,71,76,72,65,72,81,71,64,76
185,Real Sociedad,Valencia,2,0,Matchweek 19,-7.0,6.0,-4.0,-1.0,17.0,23.0,5.0,4.0,3.3,3.3,2.25,79,67,78,73,76,82,80.0,79,76,80,78,82,82,79,77,76,66,77,71,75,79,80
186,Las Palmas,Málaga,1,1,Matchweek 19,-8.0,-1.0,3.0,5.0,17.0,23.0,7.0,13.0,2.8,3.1,2.7,75,78,73,74,69,78,76.0,81,71,73,72,67,76,76,73,75,69,76,67,72,74,75
187,Eibar,Espanyol,2,1,Matchweek 19,6.0,-12.0,4.0,-2.0,27.0,21.0,7.0,5.0,4.0,3.3,2.0,71,70,73,73,74,74,71.0,75,73,78,75,76,71,74,74,64,72,64,73,69,72,75
188,Celta Vigo,Atlético Madrid,0,2,Matchweek 19,3.0,17.0,0.0,3.0,31.0,41.0,7.0,12.0,1.8,3.5,4.5,76,81,78,85,77,82,71.0,83,77,83,78,76,79,66,77,80,76,81,73,79,77,78
