,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
231,231,231,Schalke 04,Timon Wellenreuther,Max Meyer,Marco Höger,Leroy Sané,Christian Fuchs,Kaan Ayhan,Klaas-Jan Huntelaar,Tranquillo Barnetta,Matija Nastasić,Joël Matip,Roman Neustädter,Leverkusen,Bernd Leno,Emir Spahić,Simon Rolfes,Son Heung-min,Stefan Kießling,Roberto Hilbert,Kyriakos Papadopoulos,Wendell,Julian Brandt,Gonzalo Castro,Karim Bellarabi,0,1,Matchweek 26,26,7.0,15.0,-1.0,8.0,39.0,42.0,5.0,10.0,2.3,3.5,3.0
232,232,232,Mainz 05,Loris Karius,Johannes Geis,Yunus Mallı,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Shinji Okazaki,Park Joo-ho,Niko Bungert,Pablo de Blasis,Wolfsburg,Diego Benaglio,Nicklas Bendtner,Marcel Schäfer,Timm Klose,Kevin De Bruyne,André Schürrle,Luiz Gustavo,Josuha Guilavogui,Sebastian Jung,Naldo,Maximilian Arnold,1,1,Matchweek 26,26,-1.0,28.0,2.0,5.0,29.0,53.0,7.0,12.0,2.15,3.6,3.25
233,233,233,Bayern Munich,Manuel Neuer,Robert Lewandowski,Arjen Robben,Rafinha,Xabi Alonso,Jérôme Boateng,Juan Bernat,Mario Götze,David Alaba,Holger Badstuber,Bastian Schweinsteiger,Gladbach,Yann Sommer,Patrick Herrmann,Raffael,Álvaro Domínguez,Oscar Wendt,Fabian Johnson,Christoph Kramer,Tony Jantschke,André Hahn,Granit Xhaka,Martin Stranzl,0,2,Matchweek 26,26,59.0,15.0,15.0,4.0,64.0,44.0,15.0,11.0,17.0,7.5,1.17
234,234,234,Hoffenheim,Oliver Baumann,Andreas Beck,Sebastian Rudy,Sven Schipplock,Roberto Firmino,Tobias Strobl,Steven Zuber,Nadiem Amiri,David Abraham,Kim Jin-su,Kevin Volland,Gladbach,Yann Sommer,Roel Brouwers,Patrick Herrmann,Max Kruse,Raffael,Álvaro Domínguez,Oscar Wendt,Fabian Johnson,Christoph Kramer,Tony Jantschke,Granit Xhaka,1,4,Matchweek 27,27,2.0,17.0,3.0,6.0,37.0,47.0,8.0,11.0,2.6,3.5,2.7
235,235,235,Werder Bremen,Raphael Wolf,Jannik Vestergaard,Franco Di Santo,Sebastian Prödl,Felix Kroos,Levent Ayçiçek,Fin Bartels,Theodor Gebre Selassie,Davie Selke,Janek Sternberg,Philipp Bargfrede,Mainz 05,Loris Karius,Johannes Geis,Yunus Mallı,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Shinji Okazaki,Park Joo-ho,Niko Bungert,Pablo de Blasis,0,0,Matchweek 27,27,-13.0,-1.0,-5.0,0.0,34.0,30.0,5.0,8.0,2.8,3.4,2.5
236,236,236,Freiburg,Roman Bürki,Pavel Krmaš,Mike Frantz,Stefan Mitrović,Jonathan Schmid,Nils Petersen,Sascha Riether,Oliver Sorg,Nicolas Höfler,Christian Günter,Felix Klaus,Köln,Timo Horn,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Jonas Hector,Paweł Olkowski,Sławomir Peszko,Deyverson,Kevin Wimmer,Matthias Lehmann,1,0,Matchweek 27,27,-10.0,-6.0,-3.0,-1.0,25.0,30.0,4.0,6.0,2.8,3.2,2.6
237,237,237,Eint Frankfurt,Kevin Trapp,Carlos Zambrano,Bastian Oczipka,Takashi Inui,Haris Seferović,Alexander Meier,Stefan Aigner,Alexander Madlung,Makoto Hasebe,Timothy Chandler,Sonny Kittel,Hannover 96,Ron-Robert Zieler,Hiroki Sakai,Salif Sané,Edgar Prib,Lars Stindl,Christian Schulz,Felipe,Jimmy Briand,Marcelo,Hiroshi Kiyotake,Didier Ya Konan,2,2,Matchweek 27,27,-3.0,-13.0,1.0,-5.0,34.0,27.0,6.0,2.0,3.5,3.75,2.0
238,238,238,Leverkusen,Bernd Leno,Simon Rolfes,Lars Bender,Stefan Kießling,Kyriakos Papadopoulos,Tin Jedvaj,Wendell,Julian Brandt,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,Hamburger SV,René Adler,Dennis Diekmeier,Heiko Westermann,Johan Djourou,Ivica Olić,Ivo Iličević,Zoltán Stieber,Petr Jiráček,Valon Behrami,Matthias Ostrzolek,Nicolai Müller,4,0,Matchweek 27,27,16.0,-21.0,9.0,-5.0,45.0,25.0,13.0,2.0,8.5,5.0,1.36
239,239,239,Wolfsburg,Diego Benaglio,Daniel Caligiuri,Vieirinha,Bas Dost,Kevin De Bruyne,Christian Träsch,Luiz Gustavo,Josuha Guilavogui,Naldo,Robin Knoche,Ricardo Rodríguez,Stuttgart,Sven Ulreich,Timo Baumgartl,Georg Niedermeier,Martin Harnik,Florian Klein,Filip Kostić,Christian Gentner,Adam Hloušek,Serey Die,Daniel Ginczek,Alexandru Maxim,3,1,Matchweek 27,27,28.0,-19.0,4.0,-2.0,54.0,23.0,10.0,5.0,7.0,4.75,1.44
240,240,240,Dortmund,Roman Weidenfeller,Neven Subotić,Sven Bender,İlkay Gündoğan,Marco Reus,Mats Hummels,Jakub Błaszczykowski,Pierre-Emerick Aubameyang,Kevin Kampl,Sokratis Papastathopoulos,Marcel Schmelzer,Bayern Munich,Manuel Neuer,Dante,Medhi Benatia,Robert Lewandowski,Rafinha,Xabi Alonso,Jérôme Boateng,Juan Bernat,Philipp Lahm,Thomas Müller,Bastian Schweinsteiger,0,1,Matchweek 27,27,1.0,57.0,4.0,7.0,33.0,64.0,11.0,12.0,2.15,3.5,3.3
241,241,241,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Markus Feulner,Daniel Baier,Tobias Werner,Pierre Højbjerg,Hong Jeong-ho,Dominik Kohr,Raúl Bobadilla,Caiuby,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Max Meyer,Leon Goretzka,Marco Höger,Eric Maxim Choupo-Moting,Christian Fuchs,Klaas-Jan Huntelaar,Tranquillo Barnetta,Matija Nastasić,Joël Matip,0,0,Matchweek 27,27,-1.0,6.0,-4.0,-2.0,38.0,39.0,4.0,5.0,3.0,3.3,2.4
242,242,242,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Salomon Kalou,Valentin Stocker,Sebastian Langkamp,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Roy Beerens,Fabian Lustenberger,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Rafa,Lukas Rupp,Patrick Ziegler,Jens Wemmer,Mario Vrančić,Alban Meha,Daniel Brückner,Michael Heinloth,Srđan Lakić,2,0,Matchweek 27,27,-13.0,-27.0,2.0,-9.0,29.0,24.0,8.0,1.0,4.0,3.5,1.95
243,243,243,Hannover 96,Ron-Robert Zieler,Miiko Albornoz,Hiroki Sakai,Salif Sané,Lars Stindl,Christian Schulz,Felipe,Jimmy Briand,Marcelo,Hiroshi Kiyotake,Didier Ya Konan,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Salomon Kalou,Valentin Stocker,Sebastian Langkamp,Genki Haraguchi,John Brooks,Nico Schulz,Roy Beerens,Fabian Lustenberger,1,1,Matchweek 28,28,-13.0,-11.0,-5.0,3.0,28.0,32.0,2.0,11.0,4.2,3.3,1.95
244,244,244,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Max Meyer,Marco Höger,Eric Maxim Choupo-Moting,Dennis Aogo,Jefferson Farfán,Klaas-Jan Huntelaar,Matija Nastasić,Joël Matip,Freiburg,Roman Bürki,Pavel Krmaš,Mike Frantz,Admir Mehmedi,Stefan Mitrović,Sascha Riether,Julian Schuster,Oliver Sorg,Christian Günter,Karim Guédé,Felix Klaus,0,0,Matchweek 28,28,6.0,-9.0,1.0,-1.0,40.0,28.0,5.0,6.0,5.5,3.75,1.67
245,245,245,Gladbach,Yann Sommer,Roel Brouwers,Patrick Herrmann,Max Kruse,Raffael,Álvaro Domínguez,Håvard Nordtveit,Oscar Wendt,Fabian Johnson,Tony Jantschke,Granit Xhaka,Dortmund,Roman Weidenfeller,Neven Subotić,Sebastian Kehl,İlkay Gündoğan,Henrikh Mkhitaryan,Mats Hummels,Jakub Błaszczykowski,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Marcel Schmelzer,3,1,Matchweek 28,28,20.0,0.0,7.0,0.0,50.0,33.0,13.0,8.0,2.5,3.4,2.8
246,246,246,Bayern Munich,Pepe Reina,Dante,Thiago Alcántara,Robert Lewandowski,Rafinha,Xabi Alonso,Juan Bernat,Mario Götze,Philipp Lahm,Thomas Müller,Mitchell Weiser,Eint Frankfurt,Kevin Trapp,Bastian Oczipka,Haris Seferović,Nelson Valdez,Stefan Aigner,Alexander Madlung,Makoto Hasebe,Marc Stendera,Timothy Chandler,Anderson Bamba,Sonny Kittel,3,0,Matchweek 28,28,58.0,-3.0,5.0,0.0,67.0,35.0,12.0,7.0,17.0,7.5,1.17
247,247,247,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Rafa,Marvin Bakalorz,Mario Vrančić,Elias Kachunga,Michael Heinloth,Florian Hartherz,Idir Ouali,Srđan Lakić,Süleyman Koç,Augsburg,Marwin Hitz,Paul Verhaegh,Ragnar Klavan,Daniel Baier,Baba Rahman,Tobias Werner,Pierre Højbjerg,Hong Jeong-ho,Dominik Kohr,Raúl Bobadilla,Caiuby,2,1,Matchweek 28,28,-29.0,-1.0,-9.0,-3.0,24.0,39.0,1.0,4.0,2.3,3.4,3.1
248,248,248,Mainz 05,Loris Karius,Johannes Geis,Yunus Mallı,Koo Ja-cheol,Julian Baumgartlinger,Stefan Bell,Daniel Brosinski,Júnior Díaz,Shinji Okazaki,Park Joo-ho,Pablo de Blasis,Leverkusen,Bernd Leno,Son Heung-min,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Roberto Hilbert,Tin Jedvaj,Wendell,Ömer Toprak,Gonzalo Castro,Karim Bellarabi,2,3,Matchweek 28,28,-1.0,20.0,2.0,12.0,31.0,48.0,6.0,15.0,2.2,3.4,3.3
249,249,249,Hamburger SV,René Adler,Cléber,Heiko Westermann,Johan Djourou,Ivica Olić,Lewis Holtby,Pierre-Michel Lasogga,Marcelo Díaz,Valon Behrami,Matthias Ostrzolek,Rafael van der Vaart,Wolfsburg,Diego Benaglio,Daniel Caligiuri,Vieirinha,Ivan Perišić,Bas Dost,Kevin De Bruyne,Josuha Guilavogui,Naldo,Maximilian Arnold,Robin Knoche,Ricardo Rodríguez,0,2,Matchweek 28,28,-25.0,30.0,-8.0,4.0,25.0,57.0,1.0,10.0,1.8,3.75,4.33
250,250,250,Köln,Timo Horn,Dominic Maroh,Kevin Vogt,Marcel Risse,Anthony Ujah,Yuya Osako,Jonas Hector,Paweł Olkowski,Kazuki Nagasawa,Kevin Wimmer,Matthias Lehmann,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Sven Schipplock,Roberto Firmino,Tobias Strobl,Nadiem Amiri,Kim Jin-su,Kevin Volland,3,2,Matchweek 28,28,-7.0,-1.0,1.0,-2.0,30.0,37.0,5.0,7.0,3.0,3.3,2.4
251,251,251,Stuttgart,Sven Ulreich,Georg Niedermeier,Martin Harnik,Florian Klein,Filip Kostić,Christian Gentner,Adam Hloušek,Antonio Rüdiger,Serey Die,Daniel Ginczek,Alexandru Maxim,Werder Bremen,Raphael Wolf,Assani Lukimya-Mulongoti,Jannik Vestergaard,Clemens Fritz,Franco Di Santo,Zlatko Junuzović,Levent Ayçiçek,Fin Bartels,Theodor Gebre Selassie,Janek Sternberg,Philipp Bargfrede,3,2,Matchweek 28,28,-21.0,-13.0,-4.0,-3.0,23.0,35.0,5.0,5.0,3.3,3.5,2.15
252,252,252,Eint Frankfurt,Kevin Trapp,Bastian Oczipka,Haris Seferović,Nelson Valdez,Stefan Aigner,Alexander Madlung,Makoto Hasebe,Anderson Bamba,Slobodan Medojević,Aleksandar Ignjovski,Sonny Kittel,Gladbach,Yann Sommer,Roel Brouwers,Patrick Herrmann,Max Kruse,Raffael,Álvaro Domínguez,Oscar Wendt,Fabian Johnson,Christoph Kramer,Tony Jantschke,Granit Xhaka,0,0,Matchweek 29,29,-6.0,22.0,-1.0,9.0,35.0,53.0,4.0,13.0,1.85,3.75,4.2
253,253,253,Leverkusen,Bernd Leno,Son Heung-min,Lars Bender,Hakan Çalhanoğlu,Stefan Kießling,Roberto Hilbert,Kyriakos Papadopoulos,Wendell,Julian Brandt,Ömer Toprak,Gonzalo Castro,Hannover 96,Ron-Robert Zieler,Leon Andreasen,Hiroki Sakai,Ceyhun Gülselam,Lars Stindl,Joselu,Christian Schulz,Felipe,Marcelo,Hiroshi Kiyotake,Leonardo Bittencourt,4,0,Matchweek 29,29,21.0,-13.0,10.0,-3.0,51.0,29.0,15.0,2.0,8.0,5.25,1.36
254,254,254,Hertha BSC,Thomas Kraft,Peter Pekarík,Per Ciljan Skjelbred,Salomon Kalou,Valentin Stocker,Sebastian Langkamp,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Nico Schulz,Fabian Lustenberger,Köln,Timo Horn,Mišo Brečko,Dominic Maroh,Kevin Vogt,Anthony Ujah,Yuya Osako,Jonas Hector,Sławomir Peszko,Kazuki Nagasawa,Kevin Wimmer,Matthias Lehmann,0,0,Matchweek 29,29,-11.0,-6.0,3.0,0.0,33.0,33.0,9.0,8.0,3.1,3.1,2.5
255,255,255,Dortmund,Roman Weidenfeller,İlkay Gündoğan,Henrikh Mkhitaryan,Mats Hummels,Jakub Błaszczykowski,Pierre-Emerick Aubameyang,Shinji Kagawa,Sokratis Papastathopoulos,Matthias Ginter,Marcel Schmelzer,Erik Durm,Paderborn 07,Lukas Kruse,Uwe Hünemeier,Rafa,Marvin Bakalorz,Mario Vrančić,Elias Kachunga,Michael Heinloth,Florian Hartherz,Idir Ouali,Srđan Lakić,Süleyman Koç,3,0,Matchweek 29,29,-2.0,-28.0,-2.0,-5.0,33.0,27.0,5.0,4.0,13.0,6.5,1.22
256,256,256,Hoffenheim,Oliver Baumann,Andreas Beck,Ermin Bičakčić,Sebastian Rudy,Eugen Polanski,Roberto Firmino,Tobias Strobl,Jeremy Toljan,Pirmin Schwegler,Anthony Modeste,Kevin Volland,Bayern Munich,Manuel Neuer,Dante,Robert Lewandowski,Rafinha,Gianluca Gaudino,Juan Bernat,Mario Götze,Sebastian Rode,Thomas Müller,Holger Badstuber,Mitchell Weiser,0,2,Matchweek 29,29,-2.0,61.0,-1.0,6.0,37.0,70.0,4.0,12.0,1.6,4.2,5.5
