,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,matchweek,home_score,away_score,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
190,190,190,Darmstadt 98,Michael Esser,Alexander Milošević,Aytaç Sulu,Artem Fedetskyi,Jérôme Gondorf,Jan Rosenthal,Antonio Čolak,Marcel Heller,Fabian Holland,Sidney Sam,Hamit Altıntop,Augsburg,Marwin Hitz,Paul Verhaegh,Kostas Stafylidis,Halil Altıntop,Jan Morávek,Koo Ja-cheol,Gojko Kačar,Dominik Kohr,Ji Dong-won,Raúl Bobadilla,Martin Hinteregger,Matchweek 22,1,2,22,-27.0,-8.0,-8.0,-2.0,12.0,24.0,4.0,6.0,2.6,3.25,2.8
191,191,191,RB Leipzig,Péter Gulácsi,Willi Orban,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Timo Werner,Stefan Ilsanker,Benno Schmitz,Marcel Halstenberg,Diego Demme,Marvin Compper,Köln,Thomas Kessler,Neven Subotić,Dominique Heintz,Dominic Maroh,Marco Höger,Yuya Osako,Jonas Hector,Paweł Olkowski,Christian Clemens,Anthony Modeste,Konstantin Rausch,Matchweek 22,3,1,22,17.0,11.0,-2.0,5.0,45.0,33.0,9.0,8.0,5.5,3.75,1.67
192,192,192,Leverkusen,Bernd Leno,Aleksandar Dragović,Javier Hernández,Lars Bender,Tin Jedvaj,Ömer Toprak,Kai Havertz,Kevin Volland,Karim Bellarabi,Benjamin Henrichs,Kevin Kampl,Mainz 05,Jonas Lössl,Giulio Donati,Danny Latza,Levin Öztunalı,Yoshinori Mutō,Jhon Córdoba,Stefan Bell,Fabian Frei,André Ramalho,Gaëtan Bussmann,Pablo de Blasis,Matchweek 22,0,2,22,4.0,-8.0,3.0,-4.0,30.0,25.0,9.0,5.0,4.75,3.8,1.73
193,193,193,Freiburg,Alexander Schwolow,Marc Torrejón,Çağlar Söyüncü,Mike Frantz,Onur Bulut,Lukas Kübler,Nils Petersen,Maximilian Philipp,Nicolas Höfler,Christian Günter,Vincenzo Grifo,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Marco Reus,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Sokratis Papastathopoulos,Łukasz Piszczek,Gonzalo Castro,Julian Weigl,Erik Durm,Matchweek 22,0,3,22,-8.0,20.0,-1.0,3.0,30.0,37.0,7.0,10.0,1.57,4.2,5.75
194,194,194,Bayern Munich,Manuel Neuer,Mats Hummels,Thiago Alcántara,Javi Martínez,Robert Lewandowski,Arjen Robben,Douglas Costa,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Hamburger SV,René Adler,Johan Djourou,Douglas Santos,Lewis Holtby,Michael Gregoritsch,Walace,Mërgim Mavraj,Filip Kostić,Gōtoku Sakai,Nicolai Müller,Gideon Jung,Matchweek 22,8,0,22,33.0,-16.0,3.0,2.0,50.0,20.0,11.0,7.0,19.0,8.5,1.14
195,195,195,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Eint Frankfurt,Lukáš Hrádecký,Guillermo Varela,Bastian Oczipka,Haris Seferović,Mijat Gaćinović,Michael Hector,Ante Rebić,Max Besuschkow,Makoto Hasebe,Timothy Chandler,Taleb Tawatha,Matchweek 22,2,0,22,4.0,5.0,-2.0,-2.0,34.0,35.0,4.0,6.0,4.0,3.2,2.05
196,196,196,Ingolstadt 04,Markus Suttner,Martin Hansen,Anthony Jung,Alfredo Morales,Pascal Groß,Dario Lezcano,Romain Brégerie,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Tobias Strobl,Christoph Kramer,Josip Drmić,Lars Stindl,Oscar Wendt,Fabian Johnson,Jonas Hofmann,Tony Jantschke,Matchweek 22,0,2,22,-13.0,-6.0,1.0,4.0,18.0,26.0,6.0,10.0,2.8,3.1,2.7
197,197,197,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Sead Kolašinac,Leon Goretzka,Nabil Bentaleb,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Alessandro Schöpf,Holger Badstuber,Matija Nastasić,Hoffenheim,Oliver Baumann,Ermin Bičakčić,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Steven Zuber,Nadiem Amiri,Benjamin Hübner,Kevin Vogt,Marco Terrazzino,Niklas Süle,Matchweek 22,1,1,22,3.0,17.0,1.0,4.0,26.0,37.0,8.0,9.0,3.8,3.4,2.05
198,198,198,Augsburg,Marwin Hitz,Kostas Stafylidis,Jan Morávek,Koo Ja-cheol,Gojko Kačar,Dominik Kohr,Ji Dong-won,Raúl Bobadilla,Raphael Framberger,Martin Hinteregger,Kevin Danso,RB Leipzig,Péter Gulácsi,Willi Orban,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Timo Werner,Stefan Ilsanker,Benno Schmitz,Marcel Halstenberg,Diego Demme,Marvin Compper,Matchweek 23,2,2,23,-7.0,19.0,-2.0,-1.0,27.0,48.0,9.0,9.0,1.91,3.5,4.2
199,199,199,Werder Bremen,Felix Wiedwald,Robert Bauer,Clemens Fritz,Max Kruse,Claudio Pizarro,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Serge Gnabry,Darmstadt 98,Daniel Heuer Fernandes,Aytaç Sulu,Mario Vrančić,Jérôme Gondorf,Antonio Čolak,Sandro Sirigu,Peter Niemeyer,Marcel Heller,Fabian Holland,Sidney Sam,Hamit Altıntop,Matchweek 23,2,0,23,-15.0,-28.0,1.0,-4.0,22.0,12.0,6.0,3.0,5.0,4.0,1.67
200,200,200,Dortmund,Roman Bürki,Marc Bartra,Ousmane Dembélé,Marco Reus,Raphaël Guerreiro,Pierre-Emerick Aubameyang,Sokratis Papastathopoulos,Łukasz Piszczek,Gonzalo Castro,Julian Weigl,Erik Durm,Leverkusen,Bernd Leno,Lars Bender,Admir Mehmedi,Tin Jedvaj,Wendell,Charles Aránguiz,Ömer Toprak,Kai Havertz,Kevin Volland,Benjamin Henrichs,Kevin Kampl,Matchweek 23,6,2,23,23.0,2.0,6.0,2.0,40.0,30.0,10.0,6.0,6.5,4.33,1.5
201,201,201,Mainz 05,Jonas Lössl,Giulio Donati,Danny Latza,Levin Öztunalı,Yoshinori Mutō,Jhon Córdoba,Stefan Bell,Fabian Frei,André Ramalho,Gaëtan Bussmann,Pablo de Blasis,Wolfsburg,Koen Casteels,Jeffrey Bruma,Riechedly Bazoer,Yunus Mallı,Daniel Didavi,Jakub Błaszczykowski,Luiz Gustavo,Maximilian Arnold,Robin Knoche,Mario Gómez,Ricardo Rodríguez,Matchweek 23,1,1,23,-6.0,-13.0,-2.0,-4.0,28.0,22.0,7.0,3.0,3.2,3.4,2.25
202,202,202,Köln,Thomas Kessler,Neven Subotić,Dominique Heintz,Frederik Sørensen,Marco Höger,Simon Zoller,Yuya Osako,Paweł Olkowski,Christian Clemens,Anthony Modeste,Konstantin Rausch,Bayern Munich,Manuel Neuer,Thiago Alcántara,Javi Martínez,Robert Lewandowski,Douglas Costa,Juan Bernat,Philipp Lahm,Arturo Vidal,Thomas Müller,David Alaba,Kingsley Coman,Matchweek 23,0,3,23,9.0,41.0,-2.0,10.0,33.0,53.0,7.0,11.0,1.4,4.75,8.5
203,203,203,Hoffenheim,Oliver Baumann,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Steven Zuber,Nadiem Amiri,Benjamin Hübner,Kevin Vogt,Marco Terrazzino,Niklas Süle,Ádám Szalai,Ingolstadt 04,Markus Suttner,Martin Hansen,Alfredo Morales,Pascal Groß,Dario Lezcano,Lukas Hinterseer,Romain Brégerie,Marcel Tisserand,Florent Hadergjonaj,Marvin Matip,Almog Cohen,Matchweek 23,5,2,23,17.0,-15.0,5.0,-3.0,38.0,18.0,7.0,6.0,4.75,3.75,1.75
204,204,204,Gladbach,Yann Sommer,Andreas Christensen,Jannik Vestergaard,Christoph Kramer,Patrick Herrmann,Mahmoud Dahoud,Raffael,Lars Stindl,Oscar Wendt,Fabian Johnson,Tony Jantschke,Schalke 04,Ralf Fährmann,Benedikt Höwedes,Leon Goretzka,Nabil Bentaleb,Benjamin Stambouli,Daniel Caligiuri,Guido Burgstaller,Thilo Kehrer,Alessandro Schöpf,Holger Badstuber,Matija Nastasić,Matchweek 23,4,2,23,-4.0,3.0,5.0,2.0,29.0,27.0,12.0,6.0,3.2,3.3,2.3
205,205,205,Eint Frankfurt,Lukáš Hrádecký,Bastian Oczipka,Danny Blum,Mijat Gaćinović,Michael Hector,Ante Rebić,Makoto Hasebe,Timothy Chandler,Branimir Hrgota,Taleb Tawatha,Omar Mascarell,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Nicolas Höfler,Christian Günter,Vincenzo Grifo,Matchweek 23,1,2,23,3.0,-11.0,-5.0,-5.0,35.0,30.0,6.0,7.0,3.5,3.5,2.1
206,206,206,Hamburger SV,René Adler,Dennis Diekmeier,Bobby Wood,Lewis Holtby,Kyriakos Papadopoulos,Walace,Aaron Hunt,Albin Ekdal,Matthias Ostrzolek,Nicolai Müller,Gideon Jung,Hertha BSC,Rune Jarstein,Peter Pekarík,Per Ciljan Skjelbred,Niklas Stark,Vladimír Darida,Salomon Kalou,Sebastian Langkamp,Vedad Ibišević,Marvin Plattenhardt,Genki Haraguchi,John Brooks,Matchweek 23,1,0,23,-24.0,6.0,-4.0,1.0,20.0,37.0,7.0,7.0,3.0,3.2,2.45
207,207,207,Leverkusen,Bernd Leno,Aleksandar Dragović,Javier Hernández,Julian Baumgartlinger,Wendell,Julian Brandt,Ömer Toprak,Kevin Volland,Karim Bellarabi,Benjamin Henrichs,Kevin Kampl,Werder Bremen,Felix Wiedwald,Robert Bauer,Max Kruse,Miloš Veljković,Zlatko Junuzović,Niklas Moisander,Fin Bartels,Theodor Gebre Selassie,Lamine Sané,Florian Grillitsch,Maximilian Eggestein,Matchweek 24,1,1,24,-2.0,-13.0,-1.0,4.0,30.0,25.0,6.0,9.0,6.5,4.33,1.5
208,208,208,Freiburg,Alexander Schwolow,Manuel Gulde,Florian Niederlechner,Mike Frantz,Lukas Kübler,Janik Haberer,Marc-Oliver Kempf,Julian Schuster,Maximilian Philipp,Nicolas Höfler,Christian Günter,Hoffenheim,Oliver Baumann,Sebastian Rudy,Kerem Demirbay,Sandro Wagner,Jeremy Toljan,Steven Zuber,Nadiem Amiri,Benjamin Hübner,Kevin Vogt,Niklas Süle,Andrej Kramarić,Matchweek 24,1,1,24,-10.0,20.0,-1.0,4.0,33.0,41.0,7.0,10.0,2.38,3.4,3.0
209,209,209,RB Leipzig,Péter Gulácsi,Willi Orban,Marcel Sabitzer,Naby Keïta,Emil Forsberg,Timo Werner,Benno Schmitz,Marcel Halstenberg,Dominik Kaiser,Diego Demme,Marvin Compper,Wolfsburg,Koen Casteels,Riechedly Bazoer,Yunus Mallı,Daniel Didavi,Yannick Gerhardt,Jakub Błaszczykowski,Luiz Gustavo,Maximilian Arnold,Robin Knoche,Mario Gómez,Ricardo Rodríguez,Matchweek 24,0,1,24,19.0,-13.0,0.0,-3.0,49.0,23.0,7.0,4.0,6.0,3.8,1.62
