,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
294,Mainz 05,Finn Dahmen,Aymen Barkok,Anton Stach,Leandro Barreiro Martins,Karim Onisiwo,Marcus Ingvartsen,Stefan Bell,Anthony Caci,Edimilson Fernandes,Danny da Costa,Dominik Kohr,Stuttgart,Fabian Bredlow,Waldemar Anton,Wataru Endo,Josha Vagnoman,Serhou Guirassy,Tiago Tomás,Silas Katompa,Atakan Karazor,Hiroki Ito,Dan-Axel Zagadou,Nikolas Nartey,1,4,Matchweek 33
295,Augsburg,Tomáš Koubek,Mads Pedersen,Jeffrey Gouweleeuw,Dion Drena Beljo,Renato Veiga,Ermedin Demirović,Elvis Rexhbeçaj,Ohis Felix Uduokhai,Arne Engels,Niklas Dorsch,Kelvin Yeboah,Dortmund,Gregor Kobel,Sébastien Haller,Raphaël Guerreiro,Mats Hummels,Marius Wolf,Julian Brandt,Donyell Malen,Emre Can,Niklas Süle,Julian Ryerson,Karim Adeyemi,0,3,Matchweek 33
296,Leverkusen,Lukáš Hrádecký,Piero Hincapié,Jonathan Tah,Mitchel Bakker,Kerem Demirbay,Edmond Tapsoba,Moussa Diaby,Amine Adli,Exequiel Palacios,Florian Wirtz,Jeremie Frimpong,Gladbach,Jan Olschowsky,Ko Itakura,Marvin Friedrich,Christoph Kramer,Julian Weigl,Marcus Thuram,Manu Koné,Stefan Lainer,Luca Netz,Jonas Hofmann,Nico Elvedi,2,2,Matchweek 33
297,RB Leipzig,Ørjan Nyland,Mohamed Simakan,Willi Orban,Dani Olmo,Amadou Haidara,Emil Forsberg,Timo Werner,Lukas Klostermann,Christopher Nkunku,Marcel Halstenberg,Konrad Laimer,Schalke 04,Ralf Fährmann,Sepp van den Berg,Danny Latza,Rodrigo Zalazar,Marius Bülter,Dominick Drexler,Cédric Brunner,Alex Král,Marcin Kamiński,Sebastian Polter,Henning Matriciani,4,2,Matchweek 34
298,Bochum,Manuel Riemann,Erhan Mašović,Kevin Stöger,Anthony Losilla,Philipp Förster,Takuma Asano,Ivan Ordets,Christopher Antwi-Adjei,Saidy Janko,Dominique Heintz,Philipp Hofmann,Leverkusen,Lukáš Hrádecký,Jonathan Tah,Mitchel Bakker,Sardar Azmoun,Nadiem Amiri,Edmond Tapsoba,Moussa Diaby,Amine Adli,Exequiel Palacios,Florian Wirtz,Jeremie Frimpong,3,0,Matchweek 34
299,Union Berlin,Frederik Rønnow,Diogo Leite,Danilho Doekhi,Rani Khedira,Kevin Behrens,Janik Haberer,Aïssa Laïdouni,Jérôme Roussillon,Sheraldo Becker,Christopher Trimmel,Robin Knoche,Werder Bremen,Jiří Pavlenka,Niklas Stark,Marvin Ducksch,Leonardo Bittencourt,Niclas Füllkrug,Miloš Veljković,Romano Schmid,Niklas Schmidt,Lee Buchanan,Ilia Gruev,Marco Friedl,1,0,Matchweek 34
300,Eint Frankfurt,Kevin Trapp,Obite N'Dicka,Djibril Sow,Randal Kolo Muani,Daichi Kamada,Makoto Hasebe,Aurélio Buta,Christopher Lenz,Mario Götze,Jesper Lindstrøm,Tuta,Freiburg,Mark Flekken,Philipp Lienhart,Maximilian Eggestein,Lucas Höler,Yannik Keitel,Roland Sallai,Matthias Ginter,Vincenzo Grifo,Noah Weißhaupt,Kenneth Schmidt,Ritsu Doan,2,1,Matchweek 34
301,Dortmund,Gregor Kobel,Sébastien Haller,Raphaël Guerreiro,Mats Hummels,Marius Wolf,Julian Brandt,Donyell Malen,Emre Can,Niklas Süle,Julian Ryerson,Karim Adeyemi,Mainz 05,Finn Dahmen,Aarón Martín,Anton Stach,Lee Jae-sung,Leandro Barreiro Martins,Karim Onisiwo,Stefan Bell,Anthony Caci,Edimilson Fernandes,Andreas Hanche-Olsen,Dominik Kohr,2,2,Matchweek 34
302,Gladbach,Jonas Omlin,Ko Itakura,Julian Weigl,Marcus Thuram,Lars Stindl,Stefan Lainer,Luca Netz,Jonas Hofmann,Ramy Bensebaini,Nico Elvedi,Florian Neuhaus,Augsburg,Tomáš Koubek,Robert Gumny,Mads Pedersen,Jeffrey Gouweleeuw,Dion Drena Beljo,Renato Veiga,Ermedin Demirović,Arne Maier,Elvis Rexhbeçaj,Arne Engels,Niklas Dorsch,2,0,Matchweek 34
303,Stuttgart,Fabian Bredlow,Waldemar Anton,Wataru Endo,Josha Vagnoman,Konstantinos Mavropanos,Serhou Guirassy,Silas Katompa,Atakan Karazor,Hiroki Ito,Chris Führich,Borna Sosa,Hoffenheim,Oliver Baumann,Ozan Kabak,Grischa Prömel,Ihlas Bebou,Angeliño,Christoph Baumgartner,Sebastian Rudy,Finn Ole Becker,John Brooks,Andrej Kramarić,Stanley N'Soki,1,1,Matchweek 34
304,Wolfsburg,Koen Casteels,Sebastiaan Bornauw,Micky van de Ven,Jakub Kamiński,Ridle Baku,Felix Nmecha,Jonas Wind,Maximilian Arnold,Josuha Guilavogui,Yannick Gerhardt,Patrick Wimmer,Hertha BSC,Tjark Ernst,Florian Niederlechner,Suat Serdar,Jean-Paul Boëtius,Jonjoe Kenny,Marc-Oliver Kempf,Marvin Plattenhardt,Marco Richter,Jessic Ngankam,Lucas Tousart,Pascal Klemens,1,2,Matchweek 34
305,Köln,Marvin Schwäbe,Benno Schmitz,Timo Hübers,Eric Martel,Dejan Ljubicic,Florian Kainz,Jonas Hector,Julian Chabot,Davie Selke,Ellyes Skhiri,Linton Maina,Bayern Munich,Yann Sommer,Dayot Upamecano,Matthijs de Ligt,Benjamin Pavard,Joshua Kimmich,Serge Gnabry,Leroy Sané,Kingsley Coman,Thomas Müller,Ryan Gravenberch,Noussair Mazraoui,1,2,Matchweek 34
