,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
142,142,142,Valencia,Diego Alves,Shkodran Mustafi,Álvaro Negredo,Sofiane Feghouli,Pablo Piatti,José Luis Gayà,Javi Fuego,Antonio Barragán,Rodrigo De Paul,André Gomes,Nicolás Otamendi,Rayo Vallecano,Cristian Álvarez,Tito,Antonio Amaya,Raúl Baena,Gaël Kakuta,Emiliano Insúa,Javier Aquino,Léo Baptistão,Jorge Morcillo,Jozabed,Alberto Bueno,3,0,Matchweek 15,15,12.0,-9.0,-2.0,-3.0,25.0,17.0,5.0,6.0,6.0,4.5,1.5
143,143,143,Córdoba,Juan Carlos,Aleksandar Pantić,José Ángel Crespo,Luso,Íñigo López,Nabil Ghilas,Deivid,Fidel,Borja García,Abel Gómez Moreno,Eduard Campabadal,Levante,Diego Mariño,Iván López,David Navarro,Loukas Vyntra,David Barral,José Luis Morales,Nikolaos Karabelas,Víctor Casadesús,Andreas Ivanschitz,Papakouli Diop,Simão Mate Junior,0,0,Matchweek 15,15,-11.0,-18.0,-1.0,0.0,10.0,13.0,5.0,8.0,3.5,3.2,2.2
144,144,144,Málaga,Carlos Kameni,Weligton Oliveira,Vitorino Antunes,Ignacio Camacho,Samu García,Roque Santa Cruz,Marcos Angeleri,Duda,Roberto Rosales,Samu Castillejo,Sergi Darder,Celta Vigo,Sergio Álvarez,Hugo Mallo,Andreu Fontàs,Santi Mina,Pablo Hernández,Charles,Fabián Orellana,Jonny Castro,Sergi Gómez,Michael Krohn-Dehli,Augusto Fernández,1,0,Matchweek 15,15,3.0,1.0,-1.0,-5.0,24.0,20.0,9.0,4.0,3.5,3.3,2.1
145,145,145,Espanyol,Kiko Casilla,Víctor Sánchez,Salva Sevilla,Sergio García,Felipe Caicedo,José Cañas,Lucas Vázquez,Juan Rafael Fuentes,Diego Colotto,Álvaro González,Anaitz Arbilla,Granada,Roberto,Allan Nyom,Fran Rico,Jean-Sylvain Babin,Javi Márquez,Youssef El-Arabi,Piti,Manuel Iturra,Jhon Córdoba,Juankar,Jeison Murillo,2,1,Matchweek 15,15,-7.0,-15.0,-5.0,-4.0,14.0,12.0,4.0,3.0,5.5,3.6,1.7
146,146,146,Sevilla,Beto,Grzegorz Krychowiak,Diogo Figueiras,Kévin Gameiro,José Antonio Reyes,Éver Banega,Vitolo,Nicolás Pareja,Aleix Vidal,Alejandro Arribas,Stéphane Mbia,Eibar,Xabi Irureta,Eneko Bóveda,Raúl Albentosa,Ander Capa,Mikel Arruabarrena,Dani García,Lillo,Derek Boateng,Federico Piovaccari,Raúl Navas,Abraham Minero,0,0,Matchweek 15,15,8.0,-2.0,1.0,-1.0,29.0,19.0,7.0,9.0,9.0,4.5,1.4
147,147,147,Atlético Madrid,Miguel Ángel Moyá,Diego Godín,Guilherme Siqueira,Tiago Mendes,Koke,Raúl García,Mario Mandžukić,Arda Turan,Gabi,Juanfran,Miranda,Villarreal,Sergio Asenjo,Mario Gaspar,Víctor Ruiz,Luciano Vietto,Jonathan dos Santos,Ikechukwu Uche,Jaume Costa,Manu Trigueros,Denis Cheryshev,Gabriel Paulista,Bruno Soriano,0,1,Matchweek 15,15,15.0,9.0,5.0,7.0,32.0,24.0,12.0,10.0,5.5,4.0,1.62
148,148,148,Real Sociedad,Eñaut Zubikarai,Carlos Martínez,Markel Bergara,Iñigo Martínez,Alfreð Finnbogason,Esteban Granero,Xabi Prieto,Carlos Vela,Ion Ansotegi,Chory Castro,Alberto de la Bella,Athletic Club,Gorka Iraizoz,Aymeric Laporte,Mikel San José,Ander Iturraspe,Iker Muniain,Markel Susaeta,Mikel Rico,Óscar de Marcos,Aritz Aduriz,Mikel Balenziaga,Unai López,1,1,Matchweek 15,15,-5.0,-3.0,0.0,2.0,13.0,18.0,7.0,10.0,3.0,3.2,2.5
149,149,149,La Coruña,Fabricio,Juanfran,Álex Bergantiños,José Rodríguez,Haris Medunjanin,Sidnei,Luisinho,Toché,Ivan Cavaleiro,Alberto Lopo,Luis Fariña,Elche,Przemysław Tytoń,Damián Suárez,Enzo Roco,David Lombán,Domingo Cisma,Pedro Mosquera,Garry Rodrigues,José Ángel Alonso,Víctor Rodríguez,Fayçal Fajr,Jonathas,1,0,Matchweek 15,15,-12.0,-17.0,-3.0,-5.0,10.0,10.0,2.0,5.0,3.4,3.2,2.25
150,150,150,Celta Vigo,Sergio Álvarez,Hugo Mallo,Andreu Fontàs,Nemanja Radoja,Santi Mina,Charles,Fabián Orellana,Jonny Castro,Gustavo Cabral,Michael Krohn-Dehli,Augusto Fernández,Almería,Julián Cuesta,Fran Vélez,Ximo Navarro,Verza,Tomer Hemed,Ángel Trujillo,Corona,Sebastián Dubarbier,Édgar Méndez,Jonathan Zongo,Thomas Partey,0,1,Matchweek 16,16,0.0,-12.0,-6.0,-7.0,20.0,10.0,1.0,1.0,6.5,4.5,1.44
151,151,151,Barcelona,Claudio Bravo,Martín Montoya,Gerard Piqué,Ivan Rakitić,Sergio Busquets,Pedro,Andrés Iniesta,Luis Suárez,Lionel Messi,Javier Mascherano,Jordi Alba,Córdoba,Juan Carlos,Aleksandar Pantić,José Ángel Crespo,Patrick Ekeng,Luso,Federico Cartabia,Íñigo López,Nabil Ghilas,Deivid,Borja García,Eduard Campabadal,5,0,Matchweek 16,16,29.0,-11.0,9.0,-1.0,35.0,11.0,13.0,6.0,26.0,15.0,1.06
152,152,152,Levante,Diego Mariño,Iván López,David Navarro,Loukas Vyntra,David Barral,José Luis Morales,Nikolaos Karabelas,Víctor Casadesús,Andreas Ivanschitz,Papakouli Diop,Simão Mate Junior,Real Sociedad,Gerónimo Rulli,Carlos Martínez,Markel Bergara,Iñigo Martínez,Alfreð Finnbogason,Esteban Granero,Xabi Prieto,Ion Ansotegi,Sergio Canales,Alberto de la Bella,Pablo Hervías,1,1,Matchweek 16,16,-18.0,-5.0,0.0,-1.0,14.0,14.0,6.0,8.0,2.5,3.2,3.0
153,153,153,Eibar,Xabi Irureta,Eneko Bóveda,Raúl Albentosa,Mikel Arruabarrena,Dani García,Lillo,Derek Boateng,Federico Piovaccari,Manu del Moral,Saúl Berjón,Raúl Navas,Valencia,Diego Alves,Shkodran Mustafi,Lucas Orbán,Álvaro Negredo,Sofiane Feghouli,Paco Alcácer,Daniel Parejo,Pablo Piatti,Javi Fuego,Rodrigo De Paul,Nicolás Otamendi,0,1,Matchweek 16,16,-2.0,15.0,0.0,1.0,20.0,28.0,7.0,5.0,2.05,3.3,3.8
154,154,154,Rayo Vallecano,Cristian Álvarez,Tito,Raúl Baena,Gaël Kakuta,Emiliano Insúa,Quini,Léo Baptistão,Jozabed,Alberto Bueno,Alejandro Pozuelo,Álex Moreno,Espanyol,Kiko Casilla,Víctor Sánchez,Salva Sevilla,Sergio García,Felipe Caicedo,Lucas Vázquez,Juan Rafael Fuentes,Diego Colotto,Álvaro González,Anaitz Arbilla,Eric Bailly,1,3,Matchweek 16,16,-12.0,-6.0,-2.0,-4.0,17.0,17.0,6.0,7.0,3.1,3.4,2.3
155,155,155,Villarreal,Sergio Asenjo,Mario Gaspar,Víctor Ruiz,Luciano Vietto,Jonathan dos Santos,Ikechukwu Uche,Jaume Costa,Manu Trigueros,Denis Cheryshev,Gabriel Paulista,Bruno Soriano,La Coruña,Fabricio,Juanfran,Roberto Canella,Álex Bergantiños,José Rodríguez,Juan Domínguez,Sidnei,Toché,Ivan Cavaleiro,Alberto Lopo,Luis Fariña,3,0,Matchweek 16,16,10.0,-11.0,8.0,-2.0,27.0,13.0,13.0,5.0,10.0,5.0,1.33
156,156,156,Granada,Oier Olazábal,Allan Nyom,Luís Martins,Fran Rico,Diego Mainz,Jean-Sylvain Babin,Youssef El-Arabi,Piti,Manuel Iturra,Jhon Córdoba,Dimitri Foulquier,Getafe,Vicente Guaita,Alexis,Emiliano Velázquez,Naldo,Ángel Lafita,Mehdi Lacen,Álvaro Vázquez,Pablo Sarabia,Karim Yoda,Juan Valera Espín,Juan Rodríguez,1,1,Matchweek 16,16,-16.0,-8.0,-5.0,-2.0,12.0,16.0,3.0,3.0,3.3,3.1,2.38
