,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
93,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Antoine Griezmann,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Kévin Gameiro,Nicolás Gaitán,Málaga,Carlos Kameni,Bakary Koné,Mikel Villanueva,Ignacio Camacho,Juankar,Chory Castro,Federico Ricca,Roberto Rosales,Sandro Ramírez,Jony,Pablo Fornals,4,2,Matchweek 10
94,Barcelona,Marc-André ter Stegen,Ivan Rakitić,Denis Suárez,Luis Suárez,Lionel Messi,Neymar,Rafinha,Javier Mascherano,Lucas Digne,Sergi Roberto,Samuel Umtiti,Granada,Guillermo Ochoa,Uche Henry Agbo,David Lombán,Jon Toral,Gabriel Silva,Mehdi Carcela,Rúben Vezo,Andreas Pereira,Isaac Cuenca,Matthieu Saunier,Artem Kravets,1,0,Matchweek 10
95,Eibar,Asier Riesgo,Iván Ramis,Ander Capa,Takashi Inui,Sergi Enrich,Dani García,Fran Rico,Kiké,Antonio Luna,Florian Lejeune,Pedro León,Villarreal,Sergio Asenjo,Mario Gaspar,Mateo Musacchio,Víctor Ruiz,Jaume Costa,Manu Trigueros,Cédric Bakambu,Nicola Sansone,Samu Castillejo,Roberto Soriano,Bruno Soriano,2,1,Matchweek 10
96,Athletic Club,Gorka Iraizoz,Aymeric Laporte,Mikel San José,Beñat Etxebarria,Iker Muniain,Iñaki Williams,Xabier Etxeita,Óscar de Marcos,Sabin Merino,Raúl García,Mikel Balenziaga,Osasuna,Nauzet Pérez,Miguel Flaño,David García,Oier Sanjurjo,Sergio León,Oriol Riera,Roberto Torres,Álex Berenguer,Unai García,Miguel de las Cuevas,Didier Digard,1,1,Matchweek 10
97,Betis,Antonio Adán,Rafa Navarro,Álex Martínez,Petros,Felipe Gutiérrez,Jonas Martin,Antonio Sanabria,Joaquín,Germán Pezzella,Aïssa Mandi,Rubén Castro,Espanyol,Diego López,Víctor Sánchez,Gerard Moreno,Léo Baptistão,Aarón Martín,David López,Hernán Pérez,Javi Fuego,Pablo Piatti,Diego Reyes,Marc Roca,0,1,Matchweek 10
98,Las Palmas,Raúl Lizoain,Vicente Gómez,David García,Kevin-Prince Boateng,Sergio Araujo,Michel,Roque Mesa,Pedro Bigas,Jonathan Viera,Dani Castellano,Tana,Celta Vigo,Sergio Álvarez,Hugo Mallo,Nemanja Radoja,Pablo Hernández,Iago Aspas,Pione Sisto,Fabián Orellana,Daniel Wass,Sergi Gómez,Gustavo Cabral,Facundo Roncaglia,3,3,Matchweek 10
99,La Coruña,Przemysław Tytoń,Juanfran,Pedro Mosquera,Raúl Albentosa,Emre Çolak,Marlos Moreno,Florin Andone,Sidnei,Luisinho,Bruno Gama,Celso Borges,Valencia,Diego Alves,João Cancelo,Eliaquim Mangala,Mario Suárez,Enzo Pérez,Daniel Parejo,Nani,Rodrigo,Martín Montoya,Aymen Abdennour,Ezequiel Garay,1,1,Matchweek 10
100,Málaga,Carlos Kameni,Mikel Villanueva,Ignacio Camacho,Juankar,Juanpi,Chory Castro,Roberto Rosales,Sandro Ramírez,Jony,Miguel Torres,Pablo Fornals,Sporting Gijón,Iván Cuéllar,Jorge Meré,Fernando Amorebieta,Sergio Álvarez,Nacho Cases,Roberto Canella,Lillo,Isma López,Moi Gómez,Duje Čop,Borja Viguera,3,2,Matchweek 11
101,Granada,Guillermo Ochoa,Uche Henry Agbo,David Lombán,David Barral,Jon Toral,Gabriel Silva,Mehdi Carcela,Rúben Vezo,Andreas Pereira,Isaac Cuenca,Matthieu Saunier,La Coruña,Przemysław Tytoń,Juanfran,Pedro Mosquera,Emre Çolak,Marlos Moreno,Florin Andone,Sidnei,Alejandro Arribas,Luisinho,Bruno Gama,Celso Borges,1,1,Matchweek 11
102,Real Sociedad,Gerónimo Rulli,Carlos Martínez,Mikel González,Asier Illarramendi,Xabi Prieto,Carlos Vela,Willian José,David Zurutuza,Mikel Oyarzabal,Yuri Berchiche,Raúl Navas,Atlético Madrid,Jan Oblak,Diego Godín,Filipe Luís,Koke,Antoine Griezmann,Saúl Ñíguez,Yannick Carrasco,Gabi,Stefan Savić,Juanfran,Kévin Gameiro,2,0,Matchweek 11
103,Osasuna,Nauzet Pérez,Miguel Flaño,David García,Oier Sanjurjo,Sergio León,Roberto Torres,Álex Berenguer,Fausto Tienza,Unai García,Kenan Kodro,Miguel de las Cuevas,Alavés,Fernando Pacheco,Raúl García,Alexis,Marcos Llorente,Víctor Camarasa,Christian Santos,Theo Hernández,Daniel Torres,Gaizka Toquero,Kiko Femenía,Zouhair Feddal,0,1,Matchweek 11
