,HomePlayer_Overall_sd,HomePlayer_Overall_mean_ln,AwayPlayer_Overall_sd,AwayPlayer_Overall_mean_ln,home_GD_form,home_Points_form,away_GD_form,away_Points_form,B365A,B365D,B365H
1315,4.011347540529129,4.287836777617158,2.611164839335468,4.307175307612426,-4.0,4.0,1.0,8.0,3.0,3.4,2.5
1316,2.195035721390843,4.333943954430087,2.35873617932069,4.416280851692871,12.0,13.0,4.0,10.0,2.3,3.6,3.2
1317,6.422970142741242,4.335751306974294,3.0659419433511785,4.36873248943102,-3.0,6.0,6.0,11.0,3.25,3.6,2.25
1318,4.056420275876928,4.294023456093978,6.410219114110615,4.354570364789248,-3.0,5.0,3.0,7.0,1.85,3.8,4.5
1319,2.256304299271065,4.246713092913579,1.8877596148970777,4.301311532663195,-5.0,6.0,-6.0,2.0,3.75,3.4,2.15
1320,2.1105794120443453,4.364507929219022,3.3871414603950734,4.32261856498051,-3.0,4.0,0.0,7.0,5.0,4.0,1.73
1321,4.002272081978163,4.402303239120273,2.9787123514578027,4.295929144276201,1.0,8.0,-3.0,2.0,10.0,5.75,1.33
1322,1.8683974659876552,4.318408799922528,3.81623326902803,4.249751767593452,-1.0,4.0,-6.0,1.0,3.25,3.4,2.38
1323,4.423079963513701,4.30485971359267,1.2933395813657265,4.297762176338544,1.0,7.0,-2.0,4.0,5.0,3.75,1.8
1324,2.600699206681996,4.305955033036779,4.058660773300384,4.267599228761001,2.0,8.0,6.0,15.0,3.6,3.5,2.15
1325,1.6348477827391985,4.309968937147647,7.700059031650932,4.388483170373461,-8.0,5.0,5.0,13.0,1.4,5.0,9.0
1326,1.92117388356939,4.302531807238845,2.2279219832921355,4.332739842907357,-8.0,1.0,11.0,12.0,1.75,3.75,5.25
1327,1.3618169680781094,4.2952713605032615,3.5878583127998893,4.362691388196716,-6.0,1.0,0.0,7.0,1.91,3.7,4.33
1328,3.0271498746570784,4.305761345839863,6.209962670067862,4.343071167675125,0.0,5.0,-3.0,6.0,2.2,3.4,3.6
1329,7.700059031650932,4.388483170373461,4.177863742936748,4.293940350602397,5.0,13.0,-2.0,5.0,15.0,6.5,1.25
1330,2.683281572999748,4.356160283831371,2.3855626361320077,4.302358438939742,4.0,8.0,5.0,11.0,4.5,3.8,1.85
1331,3.81623326902803,4.249751767593452,2.2279219832921355,4.301184679357732,-6.0,1.0,-6.0,7.0,3.8,3.5,2.1
1332,2.493628243780901,4.415137326037702,4.674884539167299,4.297279567325483,5.0,10.0,2.0,8.0,8.5,5.25,1.4
1333,4.568667997647374,4.281151367034872,2.21153998175685,4.302422685818932,5.0,13.0,-2.0,4.0,4.75,3.75,1.83
1334,3.5342480234003237,4.31770066748738,1.8683974659876552,4.249468124685881,-1.0,7.0,-6.0,4.0,5.75,3.8,1.7
