,Unnamed: 0.1,Unnamed: 0,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek,matchweek_num,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H
20,20,20,Monza,Michele Di Gregorio,Luca Caldirola,Mattia Valoti,Stefano Sensi,Gianluca Caprari,Samuele Birindelli,Andrea Colpani,Carlos Augusto,Luca Marrone,Andrea Petagna,Salvatore Molina,Udinese,Marco Silvestri,Adam Masina,Sandi Lovrić,Jean-Victor Makengo,Beto,Gerard Deulofeu,Walace,Destiny Udogie,Bram Nuytinck,Roberto Pereyra,Rodrigo Becão,1,2,Matchweek 3,3,-5.0,-2.0,-5.0,-2.0,0.0,1.0,0.0,1.0,2.3,3.4,3.1
21,21,21,Lazio,Ivan Provedel,Patric,Matías Vecino,Felipe Anderson,Alessio Romagnoli,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,Inter,Samir Handanović,Denzel Dumfries,Roberto Gagliardini,Stefan de Vrij,Lautaro Martínez,Nicolò Barella,Federico Dimarco,Milan Škriniar,Marcelo Brozović,Romelu Lukaku,Alessandro Bastoni,3,1,Matchweek 3,3,1.0,4.0,1.0,4.0,4.0,6.0,4.0,6.0,1.83,3.8,4.0
22,22,22,Juventus,Wojciech Szczęsny,Mattia De Sciglio,Gleison Bremer,Manuel Locatelli,Danilo,Dušan Vlahović,Juan Cuadrado,Alex Sandro,Filip Kostić,Fabio Miretti,Adrien Rabiot,Roma,Rui Patrício,Rick Karsdorp,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Nemanja Matić,Tammy Abraham,Paulo Dybala,Gianluca Mancini,Leonardo Spinazzola,1,1,Matchweek 3,3,3.0,2.0,3.0,2.0,4.0,6.0,4.0,6.0,3.1,3.3,2.3
23,23,23,Cremonese,Ionuț Radu,Emanuele Valeri,Emanuel Aiwum,Johan Vásquez,Charles Pickel,Jaime Báez,Matteo Bianchetti,Gonzalo Escalante,David Okereke,Cyriel Dessers,Luca Zanimacchia,Torino,Vanja Milinković-Savić,Perr Schuurs,Alessandro Buongiorno,Antonio Sanabria,Ricardo Rodríguez,Nikola Vlašić,Wilfried Singo,Samuele Ricci,Ola Aina,Nemanja Radonjić,Karol Linetty,1,2,Matchweek 3,3,-2.0,1.0,-2.0,1.0,0.0,4.0,0.0,4.0,2.25,3.4,3.2
24,24,24,Milan,Mike Maignan,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Junior Messias,Charles De Ketelaere,Bologna,Łukasz Skorupski,Adama Soumaoro,Nicolás Domínguez,Marko Arnautović,Gary Medel,Jhon Lucumí,Jerdy Schouten,Denso Kasius,Andrea Cambiaso,Emanuel Vignato,Musa Barrow,2,0,Matchweek 3,3,2.0,-1.0,2.0,-1.0,4.0,1.0,4.0,1.0,8.5,5.5,1.33
25,25,25,Spezia,Bartłomiej Drągowski,Mehdi Bourabia,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,Petko Hristov,M'Bala Nzola,Simone Bastoni,Kevin Agudelo,Dimitris Nikolaou,Dávid Strelec,Sassuolo,Andrea Consigli,Rogério,Matheus Henrique,Andrea Pinamonti,Domenico Berardi,Gian Marco Ferrari,Davide Frattesi,Jeremy Toljan,Maxime Lopez,Martin Erlic,Giorgos Kyriakopoulos,2,2,Matchweek 3,3,-2.0,-2.0,-2.0,-2.0,3.0,3.0,3.0,3.0,2.25,3.6,3.0
26,26,26,Salernitana,Luigi Sepe,Dylan Bronn,Federico Bonazzoli,Tonny Vilhena,Federico Fazio,Lassana Coulibaly,Norbert Gyömbér,Giulio Maggiore,Boulaye Dia,Pasquale Mazzocchi,Antonio Candreva,Sampdoria,Emil Audero,Tommaso Augello,Gonzalo Villar,Filip Đuričić,Tomás Rincón,Francesco Caputo,Abdelhamid Sabiri,Fabio Depaoli,Omar Colley,Alex Ferrari,Mehdi Léris,4,0,Matchweek 3,3,-1.0,-2.0,-1.0,-2.0,1.0,1.0,1.0,1.0,3.0,3.2,2.45
27,27,27,Hellas Verona,Lorenzo Montipò,Miguel Veloso,Darko Lazović,Thomas Henry,Kevin Lasagna,Ivan Ilić,Federico Ceccherini,Koray Günter,Filippo Terracciano,Diego Coppola,Adrien Tameze,Atalanta,Juan Musso,Rafael Tolói,Caleb Okoli,Teun Koopmeiners,Ademola Lookman,Marten de Roon,Ruslan Malinovskyi,Merih Demiral,Hans Hateboer,Duván Zapata,Brandon Soppy,0,1,Matchweek 3,3,-3.0,2.0,-3.0,2.0,1.0,4.0,1.0,4.0,1.75,4.0,4.2
28,28,28,Lecce,Wladimiro Falcone,Marin Pongračić,Federico Baschirotto,Kristijan Bistrović,Joan Gonzàlez,Valentin Gendrey,Lameck Banda,Antonino Gallo,Gabriel Strefezza,Morten Hjulmand,Assan Ceesay,Empoli,Guglielmo Vicario,Koni De Winter,Sam Lammers,Liam Henderson,Martin Satriano,Răzvan Marin,Filippo Bandinelli,Petar Stojanović,Ardian Ismajli,Tommaso Baldanzi,Fabiano Parisi,1,1,Matchweek 3,3,-2.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,1.0,3.0,3.5,2.3
29,29,29,Fiorentina,Pierluigi Gollini,Dodô,Cristiano Biraghi,Nikola Milenković,Giacomo Bonaventura,Luka Jović,Jonathan Ikone,Lucas Martínez Quarta,Riccardo Sottil,Sofyan Amrabat,Antonín Barák,Napoli,Alex Meret,Kim Min-jae,Mário Rui,Victor Osimhen,Hirving Lozano,Amir Rrahmani,Piotr Zieliński,Giovanni Di Lorenzo,Stanislav Lobotka,Khvicha Kvaratskhelia,Andre-Frank Zambo Anguissa,0,0,Matchweek 3,3,1.0,7.0,1.0,7.0,4.0,6.0,4.0,6.0,2.15,3.6,3.25
