,home_team_name,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,away_team_name,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,home_score,away_score,matchweek
147,Hellas Verona,Lorenzo Montipò,Miguel Veloso,Simone Verdi,Darko Lazović,Kevin Lasagna,Federico Ceccherini,Milan Đurić,Koray Günter,Paweł Dawidowicz,Fabio Depaoli,Adrien Tameze,Spezia,Bartłomiej Drągowski,Emil Holm,Ethan Ampadu,Albin Ekdal,Emmanuel Gyasi,Jakub Kiwior,M'Bala Nzola,Simone Bastoni,Kelvin Amian,Mattia Caldara,Kevin Agudelo,1,2,Matchweek 15
148,Milan,Ciprian Tătărușanu,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Brahim Díaz,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Malick Thiaw,Rade Krunić,Fiorentina,Pietro Terracciano,Dodô,Cristiano Biraghi,Nikola Milenković,Riccardo Saponara,Arthur Cabral,Jonathan Ikone,Sofyan Amrabat,Rolando Mandragora,Antonín Barák,Igor,2,1,Matchweek 15
149,Juventus,Wojciech Szczęsny,Gleison Bremer,Manuel Locatelli,Danilo,Juan Cuadrado,Arkadiusz Milik,Federico Gatti,Filip Kostić,Moise Kean,Adrien Rabiot,Nicolò Fagioli,Lazio,Ivan Provedel,Felipe Anderson,Pedro,Alessio Romagnoli,Nicolò Casale,Luka Romero,Sergej Milinković-Savić,Elseid Hysaj,Danilo Cataldi,Adam Marušić,Toma Bašić,3,0,Matchweek 15
150,Sassuolo,Andrea Consigli,Rogério,Matheus Henrique,Andrea Pinamonti,Domenico Berardi,Gian Marco Ferrari,Davide Frattesi,Jeremy Toljan,Kristian Thorstvedt,Ruan,Armand Lauriente,Sampdoria,Emil Audero,Bruno Amione,Tommaso Augello,Valerio Verre,Tomás Rincón,Sam Lammers,Ronaldo Vieira,Bram Nuytinck,Manolo Gabbiadini,Bartosz Bereszyński,Mehdi Léris,1,2,Matchweek 16
151,Salernitana,Guillermo Ochoa,Domagoj Bradarić,Junior Sambia,Emil Bohinen,Tonny Vilhena,Ivan Radovanović,Federico Fazio,Lassana Coulibaly,Boulaye Dia,Matteo Lovato,Krzysztof Piątek,Milan,Ciprian Tătărușanu,Davide Calabria,Ismaël Bennacer,Sandro Tonali,Olivier Giroud,Brahim Díaz,Rafael Leão,Theo Hernández,Pierre Kalulu,Fikayo Tomori,Alexis Saelemaekers,1,2,Matchweek 16
152,Spezia,Jeroen Zoet,Emil Holm,Ethan Ampadu,Mehdi Bourabia,Emmanuel Gyasi,Arkadiusz Reca,Jakub Kiwior,M'Bala Nzola,Simone Bastoni,Kelvin Amian,Dimitris Nikolaou,Atalanta,Marco Sportiello,Rafael Tolói,Joakim Mæhle,José Luis Palomino,Teun Koopmeiners,Ademola Lookman,Éderson,Marten de Roon,Matteo Ruggeri,Giorgio Scalvini,Duván Zapata,2,2,Matchweek 16
153,Torino,Vanja Milinković-Savić,Perr Schuurs,Saša Lukić,Ricardo Rodríguez,Nikola Vlašić,Valentino Lazaro,Koffi Djidji,Mërgim Vojvoda,Samuele Ricci,Nemanja Radonjić,Aleksei Miranchuk,Hellas Verona,Lorenzo Montipò,Josh Doig,Isak Hien,Darko Lazović,Federico Ceccherini,Milan Đurić,Paweł Dawidowicz,Fabio Depaoli,Yayah Kallon,Adrien Tameze,Ibrahim Sulemana,1,1,Matchweek 16
154,Roma,Rui Patrício,Roger Ibanez,Bryan Cristante,Chris Smalling,Lorenzo Pellegrini,Zeki Çelik,Paulo Dybala,Nicolò Zaniolo,Gianluca Mancini,Benjamin Tahirovic,Stephan El Shaarawy,Bologna,Łukasz Skorupski,Stefan Posch,Adama Soumaoro,Riccardo Orsolini,Nicolás Domínguez,Marko Arnautović,Gary Medel,Lewis Ferguson,Roberto Soriano,Charalambos Lykogiannis,Jhon Lucumí,1,0,Matchweek 16
155,Lecce,Wladimiro Falcone,Federico Baschirotto,Lorenzo Colombo,Joan Gonzàlez,Valentin Gendrey,Lameck Banda,Antonino Gallo,Gabriel Strefezza,Alexis Blin,Morten Hjulmand,Samuel Umtiti,Lazio,Ivan Provedel,Pedro,Alessio Romagnoli,Nicolò Casale,Ciro Immobile,Mattia Zaccagni,Sergej Milinković-Savić,Manuel Lazzari,Danilo Cataldi,Adam Marušić,Toma Bašić,2,1,Matchweek 16
156,Fiorentina,Pietro Terracciano,Dodô,Cristiano Biraghi,Riccardo Saponara,Arthur Cabral,Jonathan Ikone,Lucas Martínez Quarta,Alfred Duncan,Alessandro Bianco,Antonín Barák,Igor,Monza,Michele Di Gregorio,Marlon,Luca Caldirola,Gianluca Caprari,Filippo Ranocchia,Andrea Colpani,Carlos Augusto,Matteo Pessina,Dany Mota,Armando Izzo,Patrick Ciurria,1,1,Matchweek 16
157,Cremonese,Marco Carnesecchi,Emanuele Valeri,Charles Pickel,Matteo Bianchetti,Leonardo Sernicola,Michele Castagnetti,Alex Ferrari,Soualiho Meïté,Luka Lochoshvili,David Okereke,Cyriel Dessers,Juventus,Wojciech Szczęsny,Gleison Bremer,Manuel Locatelli,Danilo,Weston McKennie,Arkadiusz Milik,Federico Gatti,Filip Kostić,Fabio Miretti,Matìas Soulé,Nicolò Fagioli,0,1,Matchweek 16
